,Processed File Name,Group,Year,geoBoundaryType,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Recorder (Name),Last Updated Date
119,CHL_ADM1.zip,Chile,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
120,CHL_ADM2.zip,Chile,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
121,CHN_ADM0.zip,China,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
122,CHN_ADM1.zip,China,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
123,CHN_ADM2.zip,China,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
124,CHN_ADM3.zip,China,2017,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
125,COL_ADM0.zip,Colombia,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
126,COL_ADM1.zip,Colombia,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
127,COL_ADM2.zip,Colombia,2016,Open & Authoritative,ADM 2,Departamento Administrativo Nacional de Estadistica,,Creative Commons Attribution 4.0 International (CC BY 4.0),Noted by CC icon on web page,https://geoportal.dane.gov.co/?descarga-marco-geoestadistico-nacional,No,https://geoportal.dane.gov.co/geonetwork/srv/spa/catalog.search;jsessionid=28C04991CAF95F58924321C7166FBFBE#/metadata/e22375e8-dcbf-4952-831c-261917cf0e52,,5/25/20
128,COM_ADM0.zip,Comoros,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
129,COM_ADM1.zip,Comoros,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
130,CRI_ADM0.zip,Costa Rica,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
131,CRI_ADM1.zip,Costa Rica,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
132,CRI_ADM2.zip,Costa Rica,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
133,CRI_ADM3.zip,Costa Rica,2017,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
138,HRV_ADM0.zip,Croatia,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
139,HRV_ADM1.zip,Croatia,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
141,CUB_ADM0.zip,Cuba,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
142,CUB_ADM1.zip,Cuba,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
143,CUB_ADM2.zip,Cuba,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
144,CYP_ADM0.zip,Cyprus,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
145,CYP_ADM1.zip,Cyprus,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
146,CYP_ADM2.zip,Cyprus,2009,Open & Authoritative,ADM 2,Wikipedia,Cyprus Department of Land Registry and Geometry,Creative Commons Attribution-ShareAlike 3.0 Unported,,https://commons.wikimedia.org/wiki/File:Population_map_of_Cyprus.jpg,,https://commons.wikimedia.org/wiki/File:Population_map_of_Cyprus.jpg,,5/25/20
147,CZE_ADM0.zip,Czech Republic,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
148,CZE_ADM1.zip,Czech Republic,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
149,CZE_ADM2.zip,Czech Republic,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
150,CZE_ADM3.zip,Czech Republic,2017,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
151,CZE_ADM4.zip,Czech Republic,2017,Open,ADM 4,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
152,COD_ADM0.zip,Democratic Republic of Congo,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
153,COD_ADM1.zip,Democratic Republic of Congo,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
154,COD_ADM2.zip,Democratic Republic of Congo,2010,Open,ADM 2,Referential Geographique Commune,,Open Data Commons Open Database License 1.0,ODbL applies to all data on source site,http://www.rgc.cd/index.php?option=com_content&view=article&id=68:resume-de-la-licence-odbl-10&catid=47:licensing&Itemid=76,No,http://www.rgc.cd/index.php?option=com_content&view=category&layout=blog&id=41&Itemid=183,,5/25/20
155,COD_ADM3.zip,Democratic Republic of Congo,2010,Open,ADM 3,Referential Geographique Commune,,Open Data Commons Open Database License 1.0,ODbL applies to all data on source site,http://www.rgc.cd/index.php?option=com_content&view=article&id=68:resume-de-la-licence-odbl-10&catid=47:licensing&Itemid=76,No,http://www.rgc.cd/index.php?option=com_content&view=category&layout=blog&id=41&Itemid=183,,5/25/20
156,DNK_ADM0.zip,Denmark,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
157,DNK_ADM1.zip,Denmark,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
158,DNK_ADM2.zip,Denmark,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
159,DJI_ADM0.zip,Djibouti,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
160,DJI_ADM1.zip,Djibouti,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
162,DMA_ADM0.zip,Dominica,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
163,DMA_ADM1.zip,Dominica,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
164,DOM_ADM0.zip,Dominican Republic,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
165,DOM_ADM1.zip,Dominican Republic,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
166,DOM_ADM2.zip,Dominican Republic,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
167,ECU_ADM0.zip,Ecuador,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
168,ECU_ADM1.zip,Ecuador,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
169,ECU_ADM2.zip,Ecuador,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
170,EGY_ADM0.zip,Egypt,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
171,EGY_ADM1.zip,Egypt,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
176,GNQ_ADM0.zip,Equatorial Guinea,2016,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
177,GNQ_ADM1.zip,Equatorial Guinea,2016,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
178,GNQ_ADM2.zip,Equatorial Guinea,2013,,ADM 2,"World Resources Institute, Congo Forest Basin Atlas",,Creative Commons Attribution 4.0 International (CC BY 4.0),Creative Commons BY 4.0 - Noted by CC icon on web page,http://gnq-data.forest-atlas.org/datasets/equatorial-guinea-gis-data-2013,No,http://gnq-data.forest-atlas.org/datasets/equatorial-guinea-gis-data-2013,,5/25/20
179,ERI_ADM0.zip,Eritrea,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
180,ERI_ADM1.zip,Eritrea,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
182,EST_ADM0.zip,Estonia,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
183,EST_ADM1.zip,Estonia,2016,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
184,EST_ADM2.zip,Estonia,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
185,EST_ADM3.zip,Estonia,2018,,ADM 3,Estonia Land Board Geoportal,,Other - Organization Specific,Use not restricted but the reference to the data source (i.e. Estonian Land Board) and validity date (01.02.2018) must be made,https://geoportaal.maaamet.ee/eng/Maps-and-Data/Administrative-and-Settlement-Division-p312.html,No,https://geoportaal.maaamet.ee/eng/Maps-and-Data/Administrative-and-Settlement-Division-p312.html,,5/25/20
186,ETH_ADM0.zip,Ethiopia,2016,,ADM 0,Open Africa,Code for Ethiopia,Open Data Commons Open Database License 1.0,http://opendefinition.org/licenses/cc-by/,https://africaopendata.org/dataset/ethiopia-shapefiles,No,https://africaopendata.org/dataset/ethiopia-shapefiles,,5/25/20
187,ETH_ADM1.zip,Ethiopia,2016,,ADM 1,Open Africa,Code for Ethiopia,Open Data Commons Open Database License 1.0,http://opendefinition.org/licenses/cc-by/,https://africaopendata.org/dataset/ethiopia-shapefiles,No,https://africaopendata.org/dataset/ethiopia-shapefiles,,5/25/20
188,ETH_ADM2.zip,Ethiopia,2016,,ADM 2,Open Africa,Code for Ethiopia,Open Data Commons Open Database License 1.0,http://opendefinition.org/licenses/cc-by/,https://africaopendata.org/dataset/ethiopia-shapefiles,No,https://africaopendata.org/dataset/ethiopia-shapefiles,,5/25/20
189,ETH_ADM3.zip,Ethiopia,2016,,ADM 3,Open Africa,Code for Ethiopia,Open Data Commons Open Database License 1.0,http://opendefinition.org/licenses/cc-by/,https://africaopendata.org/dataset/ethiopia-shapefiles,No,https://africaopendata.org/dataset/ethiopia-shapefiles,,5/25/20
190,FJI_ADM0.zip,Fiji,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
191,FJI_ADM1.zip,Fiji,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
192,FJI_ADM2.zip,Fiji,2014,,ADM 2,POPGIS,,Other - Direct Permission,Granted to redistribute in email,https://twitter.com/WMgeoLab/status/1195463723642585088/photo/1,No,http://prism.spc.int/regional-data-and-tools/popgis2,,5/25/20
193,FJI_ADM3.zip,Fiji,2014,,ADM 3,POPGIS,,Other - Direct Permission,Granted to redistribute in email,https://twitter.com/WMgeoLab/status/1195463723642585088/photo/1,No,http://prism.spc.int/regional-data-and-tools/popgis2,,5/25/20
194,FJI_ADM4.zip,Fiji,2014,,ADM 4,POPGIS,,Other - Direct Permission,Granted to redistribute in email,https://twitter.com/WMgeoLab/status/1195463723642585088/photo/1,No,http://prism.spc.int/regional-data-and-tools/popgis2,,5/25/20
195,FIN_ADM0.zip,Finland,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
196,FIN_ADM1.zip,Finland,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
197,FIN_ADM2.zip,Finland,2016,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
198,FIN_ADM3.zip,Finland,2017,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
199,FRA_ADM0.zip,France,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
200,FRA_ADM1.zip,France,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
201,FRA_ADM2.zip,France,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
202,FRA_ADM3.zip,France,2017,Open,ADM3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
203,FRA_ADM4.zip,France,2015,,ADM 4,OpenStreetMap,Data.gouv.fr (http://data.gouv.fr),Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.data.gouv.fr/en/datasets/contours-osm-des-cantons-electoraux-departementaux-2015/,No,https://www.data.gouv.fr/en/datasets/contours-osm-des-cantons-electoraux-departementaux-2015/,,5/25/20
210,GEO_ADM0.zip,Georgia,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
211,GEO_ADM1.zip,Georgia,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
212,GEO_ADM2.zip,Georgia,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
213,DEU_ADM0.zip,Germany,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
214,DEU_ADM1.zip,Germany,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
215,DEU_ADM2.zip,Germany,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
216,DEU_ADM3.zip,Germany,2017,,ADM 3,GeoBasis-DE,Statistical offices of the federation and the lander,Data license Germany - Attribution - Version 2.0,https://www.govdata.de/dl-de/by-2-0,https://gdz.bkg.bund.de/index.php/default/digitale-geodaten/verwaltungsgebiete/verwaltungsgebiete-1-250-000-ebenen-stand-01-01-vg250-ebenen-01-01.html,No,https://gdz.bkg.bund.de/index.php/default/digitale-geodaten/verwaltungsgebiete/verwaltungsgebiete-1-250-000-ebenen-stand-01-01-vg250-ebenen-01-01.html,,5/25/20
220,GRC_ADM0.zip,Greece,2016,Open,ADM 0,EuroGeoGraphics,Regional IM Working Group - Europe,Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/gree,No,https://data.humdata.org/dataset/gree,,5/25/20
221,GRC_ADM1.zip,Greece,2016,Open,ADM 1,EuroGeoGraphics,Regional IM Working Group - Europe,Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/gree,No,https://data.humdata.org/dataset/gree,,5/25/20
222,GRC_ADM2.zip,Greece,2016,Open,ADM 2,EuroGeoGraphics,Regional IM Working Group - Europe,Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/gree,No,https://data.humdata.org/dataset/gree,,5/25/20
223,GRC_ADM3.zip,Greece,2017,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
224,GRL_ADM0.zip,Greenland,2020,Open,ADM0 ,OpenStreetMap,Geofabrik,Creative Commons Attribution-ShareAlike 2.0,Creative Commons Attribution-ShareAlike 2.0,https://download.geofabrik.de/north-america/greenland.html,No,https://download.geofabrik.de/north-america/greenland.html,,5/25/20
225,GRL_ADM1.zip,Greenland,2020,Open,ADM1,Wikipedia,IFAD,Creative Commons Attribution-ShareAlike 3.0 Germany,Creative Commons Attribution-ShareAlike 3.0 Germany,https://creativecommons.org/licenses/by-sa/3.0/de/legalcode,No,https://en.wikipedia.org/wiki/Qeqertalik#/media/File:Qeqertalik_in_Greenland_2018.svg,,5/25/20
226,GRD_ADM0.zip,Grenada,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
227,GRD_ADM1.zip,Grenada,2017,Open,ADM 1,"OpenStreetMap, digitized from https://en.wikipedia.org/wiki/Parishes_of_Grenada#/media/File:Grenada_parishes_named.png",Golbez,Creative Commons Attribution-ShareAlike 3.0 Unported,,https://en.wikipedia.org/wiki/Parishes_of_Grenada,No,https://en.wikipedia.org/wiki/Parishes_of_Grenada#/media/File:Grenada_parishes_named.png,,5/25/20
228,GTM_ADM0.zip,Guatemala,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
229,GTM_ADM1.zip,Guatemala,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
230,GTM_ADM2.zip,Guatemala,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
235,GNB_ADM0.zip,Guinea Bissau,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
236,GNB_ADM1.zip,Guinea Bissau,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
237,GNB_ADM2.zip,Guinea Bissau,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
238,GUY_ADM0.zip,Guyana,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
239,GUY_ADM1.zip,Guyana,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
241,HTI_ADM0.zip,Haiti,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
242,HTI_ADM1.zip,Haiti,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
243,HTI_ADM2.zip,Haiti,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
244,HTI_ADM3.zip,Haiti,2018,,ADM 3,FEWS NET,,Other - Direct Permission,Granted to redistribute in email,https://twitter.com/WMgeoLab/status/1196504806980030464/photo/1,No,http://www.fews.net/fews-data/334?tid=5&field_data_portal_date_start%5Bvalue%5D%5Byear%5D=&field_data_portal_date_start%5Bvalue%5D%5Bmonth%5D=&field_data_portal_date_end%5Bvalue%5D%5Byear%5D=&field_data_portal_date_end%5Bvalue%5D%5Bmonth%5D=,,5/25/20
245,HND_ADM0.zip,Honduras,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
246,HND_ADM1.zip,Honduras,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/20
